d13C; d15N ;ID;porcion;sexo
-23,69528;7,059593;15;1;2
-24,07696;7,266696;15;2;2
-23,96899;6,973504;15;3;2
-24,42649;7,206352;15;4;2
-24,36517;7,414;15;5;2
-24,40605;7,60552;15;6;2
-23,67503;6,897904;16;1;1
-23,9943;7,042048;16;2;1
-24,31552;6,86464;16;3;1
-24,73311;7,022896;16;4;1
-24,00501;7,074304;16;5;1
-24,18119;7,465408;17;1;2
-24,54427;8,01376;17;2;2
-24,20164;7,339408;17;3;2
-24,40897;7,94824;17;4;2
-23,90183;8,364544;17;5;2
-24,1189;7,143856;18;1;2
-24,00306;6,812224;18;2;2
-24,37198;7,039024;18;3;2
-24,6849;7,408058;18;4;2
-24,69561;7,507822;18;5;2
-24,829;6,958102;19;1;1
-24,79395;7,098586;19;2;1
-24,57586;7,514948;19;3;1
-24,28767;7,9364;19;4;1
-23,98294;9,03584;19;5;1
-23,51074;7,2747;20;1;1
-23,72493;7,619802;20;2;1
-23,65191;7,35614;20;3;1
-24,18739;7,747052;20;4;1
-23,84663;8,118622;20;5;1
-23,90894;7,906878;20;6;1
-23,50782;7,098586;21;1;2
-23,93426;7,227872;21;2;2
-24,07932;7,390752;21;3;2
-24,11535;7,399914;21;4;2
-23,77751;7,242124;21;5;2
-24,56515;6,80133;22;1;1
-24,59338;6,73007;22;2;1
-24,5856;6,75043;22;3;1
-24,59533;7,23907;22;4;1
-24,3938;6,65372;22;5;1
-24,16013;6,559046;23;1;1
-24,38114;6,418562;23;2;1
-24,53789;6,611982;23;3;1
-24,51647;6,662882;23;4;1
-24,54568;6,655756;23;5;1
-24,1504;6,884806;24;1;2
-24,26528;6,741268;24;2;2
-23,99949;6,588568;24;3;2
-24,31591;7,017146;24;4;2
-24,34122;7,097568;24;5;2
-23,93328;6,936724;25;1;2
-23,91089;6,95912;25;2;2
-24,39964;7,424346;25;3;2
-24,51258;8,013768;25;4;2
-24,10658;7,906878;25;5;2
-24,48824;6,647612;26;1;2
-24,70827;7,460994;26;2;2
-24,76376;7,21362;26;3;2
-24,52036;7,382608;26;4;2
-24,34998;7,536326;26;5;2
-23,89337;7,322546;27;1;NA
-23,85734;7,220746;27;2;NA
-24,13385;6,84205;27;3;NA
-24,202;6,950976;27;4;NA
-23,73272;7,180026;27;5;NA
-24,22536;7,285898;27;6;NA
-24,12411;6,505092;28;1;1
-24,14066;6,8166;28;2;1
-24,15721;6,810492;28;3;1
-24,26139;6,921454;28;4;1
-24,64304;7,321528;28;5;1
-24,28865;6,795222;29;1;1
-24,10172;6,817618;29;2;1
-24,20394;7,092478;29;3;1
-23,89726;6,901094;29;4;1
-24,22731;7,164756;29;5;1
-24,28378;7,455904;29;6;1
-25,30703;7,699206;30;1;1
-25,20091;7,801006;30;2;1
-24,42398;8,132874;30;3;1
-24,64791;7,84478;30;4;1
-24,43956;8,248926;30;5;1
-24,49895;8,133892;36;1;2
-24,63233;8,069758;36;2;2
-24,38309;8,300844;36;3;2
-23,96249;8,443364;36;4;2
-23,21185;7,709386;36;5;2
-23,30142;8,312042;36;6;2
